ID,Name,ImageURL1,ImageURL2,DesignType,ProductCode
"01bQHweQjYm1lN2MQ4cp","FRANKFORT OQ SHAKAR","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"05eXXoTQoeCCJkXnG1x8","ZIRA","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"0PD4BffIxElIO4m91Wcq","CENTRAL PALACE","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"0VrqbCZaFt5Ju8yMGjEH","ERGASH MEAT","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"115aXM40aJCGuzomEdjV","BURCHMULLA SLIVKA","https://ik.imagekit.io/php1jcf0t/BURCHMULLA_3_s-USvoXXWK.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"17GUtjyo1N0xifJ8hzjB","TATNEFT","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","N/A","unique","N/A"
"1XgJ7dSe3SKQptwNdDy1","FRESCO","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"1qD5SuCr2NA8JTYUetRE","HILTON GARDEN OQ SHAKAR","https://ik.imagekit.io/php1jcf0t/photo_2023-05-27_00-17-01__zs7_BihD.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"25QjaYsyI8ulKksQRR5Z","BIBIGON","https://ik.imagekit.io/php1jcf0t/BIBIGON_tD5GBiHMp.JPG","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"29t0mKj5E7qjTlGEzRp7","KAI ZEN","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"2j0k7NZ5Eh1frhEPbYAa","PREMIER LOUNGE","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
